"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","val-de-marne.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","val-de-marne.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","val-de-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","val-de-marne.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","val-de-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","val-de-marne.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","val-de-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","val-de-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","val-de-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","val-de-marne.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","val-de-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","val-de-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","val-de-marne.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","val-de-marne.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","val-de-marne.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","val-de-marne.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","val-de-marne.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","val-de-marne.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","val-de-marne.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","val-de-marne.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","val-de-marne.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","val-de-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","val-de-marne.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","val-de-marne.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","val-de-marne.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","val-de-marne.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","val-de-marne.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","val-de-marne.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","val-de-marne.gouv.fr/77.159.252.140","443","INFO","CA9FBBC0F2F6738A8659885570A50E5F","",""
"cert_serialNumberLen","val-de-marne.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","val-de-marne.gouv.fr/77.159.252.140","443","INFO","658D7AAE0481D62022AF8B4F23B75ED2F94A0EB7","",""
"cert_fingerprintSHA256","val-de-marne.gouv.fr/77.159.252.140","443","INFO","62A4EE432EA85FD06863252E74B1915290865B466CD97AD34CC1C1BFCE1CAD36","",""
"cert","val-de-marne.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIZjCCBk6gAwIBAgIRAMqfu8Dy9nOKhlmIVXClDl8wDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCRlIxEjAQBgNVBAoMCURISU1ZT1RJUzEcMBoGA1UECwwTMDAwMiA0ODE0NjMwODEwMDAzNjEdMBsGA1UEYQwUTlRSRlItNDgxNDYzMDgxMDAwMzYxHTAbBgNVBAMMFENlcnRpZ25hIFNlcnZpY2VzIENBMB4XDTI0MDMyMjIzMDAwMFoXDTI0MTAzMDIyNTk1OVoweDELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMSEwHwYDVQQKDBhNSU5JU1RFUkUgREUgTCBJTlRFUklFVVIxITAfBgNVBAMMGHd3dy52YWwtZGUtbWFybmUuZ291di5mcjETMBEGA1UEBRMKUzMwNDE1MjMwNTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMKlAd5ot0QfcPbcGDb3P4PKuO3h02upw4oRjq8err/Df55Q5zxwBGWZMsiaN25x1y9av2hC0KZe3T/ykktF+c0LuQZkYJgN6wg9kS/1PW47S+yVzvfipbM4DQ4Ba0m8jP9J7XB1o18+0xTCMYr+WehAl/FBNhk2EJ8gE0q5TlqVxxbO1044lFKyWXHuuLQyD+ZVWGByxNfhtykXr5JCLokfp+PFg6Vp46c9KP9WA9Fr8ujjTAYWokrZ8LpJ+6Kh0k9mJPzYCJVDwAFDxNM4ECqfiHblhjuebz8/8SAf0nt3VJ5yOFPiyyxT88/fT+/yh625Z7W346WA8NqiBsl/q60CAwEAAaOCA+QwggPgMIHkBggrBgEFBQcBAQSB1zCB1DA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuZGVyMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjAuBggrBgEFBQcwAYYiaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAwBggrBgEFBQcwAYYkaHR0cDovL3NlcnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMB8GA1UdIwQYMBaAFKzsho9LNxy4fxcbGdCu6E7jNFwSMAwGA1UdEwEB/wQCMAAwYQYDVR0gBFowWDAIBgZngQwBAgIwTAYLKoF6AYExAgUBAQEwPTA7BggrBgEFBQcCARYvaHR0cHM6Ly93d3cuY2VydGlnbmEuY29tL2F1dG9yaXRlLWNlcnRpZmljYXRpb24wZQYDVR0fBF4wXDAtoCugKYYnaHR0cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMCugKaAnhiVodHRwOi8vY3JsLmNlcnRpZ25hLmZyL3NlcnZpY2VzY2EuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDA5BgNVHREEMjAwghR2YWwtZGUtbWFybmUuZ291di5mcoIYd3d3LnZhbC1kZS1tYXJuZS5nb3V2LmZyMB0GA1UdDgQWBBTZ3wvSaHG4aE00Ju4M3RSRrwvgNTCCAX0GCisGAQQB1nkCBAIEggFtBIIBaQFnAHYAdv+IPwq2+5VRwmHM9Ye6NLSkzbsp3GhCCp/mZ0xaOnQAAAGOanp+cAAABAMARzBFAiA+UxaebCDeucd8kvcjen6O6Yd/Nunifej2d3/V9mLdxAIhAJbdbcPnBGAwuksp42fzjO0QCEi0T3ngZpdY3evkuypkAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGOanqAegAABAMARzBFAiEAgQmkUsZkMnR2KHZIDki1Plzj08MZe7OHx71MdfEv77cCIEDTpTsKl337PzxeH6V36FBCL5Z3gEGLxTha5PNWmeEzAHUA2ra/az+1tiKfm8K7XGvocJFxbLtRhIU0vaQ9MEjX+6sAAAGOanqBTAAABAMARjBEAiAXj4Sq6KcWtVibYTZR5MOCxxWGnRPsJuwxuFWqUtY/jQIgbL8+CoDKYvD65rlj0dFrqzIgd4pKUkmGK3P9FfbWZgUwDQYJKoZIhvcNAQELBQADggIBACTuhdnYmQldWKGrwv9PwHyex+fgfjRAICvwKNL8ffBVneofmmT/Sr+orWeTaXShvSjMpWLFY6bCtSPRTzGde31YTAlM1BJ8Rc+oVwVU6YW2pZUCR4YtZcqAXp1blfCX57+O8BwNq0qX0zk0tse7mqR1CMqLuBOhFzFaHyQ7cKHPSPo+sEmpbC7N73PY14J0Ro7M/lg4PGmzxm+8harmg9enChCjvxEg6MQxzu8k08fbZLKEmFYoJjNI98c6WMMg2BkFM+ayAhAqzRNVhubOAXQJn6944cDYXrkxSWVyh64HW6HZcgil8ckPXPRc8+uftqD7KKjudX0FqPuYF/zxrBvVC7UD3aibhvwafjiZObKATwnn9LvRu9RAfCmSde5BthKXXUb94AlpLxz7TUUgFgFNhpWFYyvU2+CCwKKSttWT5nYrOpTvkRe5VG8m6EBCGYJkdZ0tgcaQV0hvNUser1ru8zCCGZdUxKLDDxfOHpLKbMdXfZtMX/5B+3ooV/9R7Aiv0j/0xaqzJ8HL8niktZeHSfyJ9FpooYLHAQxyHUu5II+y8n25v6/+jjAVUZq3d9uUrnm8j0M6IJHpIAHa5t3jmv1/QXAu0r09u/bIolNc5gVplrjbum0gkfFSFiYpi+lyTgtpqeCXISTy+BPGT8YAxiyZIKY22dkU0D8png22\n-----END CERTIFICATE-----","",""
"cert_commonName","val-de-marne.gouv.fr/77.159.252.140","443","OK","www.val-de-marne.gouv.fr","",""
"cert_commonName_wo_SNI","val-de-marne.gouv.fr/77.159.252.140","443","INFO","default.phi67.zd-est.pref.gouv.fr","",""
"cert_subjectAltName","val-de-marne.gouv.fr/77.159.252.140","443","INFO","val-de-marne.gouv.fr www.val-de-marne.gouv.fr","",""
"cert_trust","val-de-marne.gouv.fr/77.159.252.140","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","val-de-marne.gouv.fr/77.159.252.140","443","OK","passed.","",""
"cert_certificatePolicies_EV","val-de-marne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_expirationStatus","val-de-marne.gouv.fr/77.159.252.140","443","OK","105 >= 60 days","",""
"cert_notBefore","val-de-marne.gouv.fr/77.159.252.140","443","INFO","2024-03-22 23:00","",""
"cert_notAfter","val-de-marne.gouv.fr/77.159.252.140","443","OK","2024-10-30 22:59","",""
"cert_extlifeSpan","val-de-marne.gouv.fr/77.159.252.140","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","val-de-marne.gouv.fr/77.159.252.140","443","INFO","not present","",""
"cert_crlDistributionPoints","val-de-marne.gouv.fr/77.159.252.140","443","INFO","http://crl.dhimyotis.com/servicesca.crl http://crl.certigna.fr/servicesca.crl","",""
"cert_ocspURL","val-de-marne.gouv.fr/77.159.252.140","443","INFO","http://servicesca.ocsp.certigna.fr http://servicesca.ocsp.dhimyotis.com","",""
"OCSP_stapling","val-de-marne.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"cert_mustStapleExtension","val-de-marne.gouv.fr/77.159.252.140","443","INFO","--","",""
"DNS_CAArecord","val-de-marne.gouv.fr/77.159.252.140","443","LOW","--","",""
"certificate_transparency","val-de-marne.gouv.fr/77.159.252.140","443","OK","yes (certificate extension)","",""
"certs_countServer","val-de-marne.gouv.fr/77.159.252.140","443","INFO","2","",""
"certs_list_ordering_problem","val-de-marne.gouv.fr/77.159.252.140","443","INFO","no","",""
"cert_caIssuers","val-de-marne.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA (DHIMYOTIS from FR)","",""
"intermediate_cert <#1>","val-de-marne.gouv.fr/77.159.252.140","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGFjCCBP6gAwIBAgIQb4L6KKzW94S7WxILqHNnrTANBgkqhkiG9w0BAQsFADA0MQswCQYDVQQGEwJGUjESMBAGA1UECgwJRGhpbXlvdGlzMREwDwYDVQQDDAhDZXJ0aWduYTAeFw0xNTExMjUxMTMzNTJaFw0yNTExMjIxMTMzNTJaMH0xCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlESElNWU9USVMxHDAaBgNVBAsMEzAwMDIgNDgxNDYzMDgxMDAwMzYxHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQQDDBRDZXJ0aWduYSBTZXJ2aWNlcyBDQTCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBALPM+7LpWBz9wFcPaTc3xnB+5g0XrnptB0EPPfrR04vO52Ykm4ky1d4ZLd10tbM1fa1RqNSOVWWg93O4pL7zCFKlz6JV74ZZVhHpEAwzBwv2oPnxvVbxtSN67xsSY66ahUYxjzs8+3FhmsiRxqwnTYvK2u70uglUvRisOKyTL/M6JnrC4y8tlmoz7OSa5BmBMVplJFQtvmON6N9aHLvYMz+EyJPCbXL6pELxeHjFT5QmIaRamsr2DOTaCjtBZKI1Wnh3X7lnbjM8MESJiV2t7E9tIQNG0Z/HI3tO4aaUMum3KysY5sC8v3vi7rryGidgzHQhrtP0ZXWW5UH/k7umLS/P/XXWnCFpc2Lxa1uDGfc2im7xibRoPP+JNZszN76euFlls6jyEXAiwnVr14tVVTewLK0OWs5SJHpEKp8PGMZRDj59EmMvokWwzL6QzNZ6vVAp00oOm05sbspNY9+MFqGKKUsKvhFGEa4XmRNxDe6KswLcjPZB+NKHZ0QWFd4ip5C5XmEK/8qIPjwVr9dah9+oiHGGO8Wx7gJAMF5DTmkvW7GhqCKj1LmHnabjzc8av6kxWVQZi/C7HCm9i/W4wio+JA2EAFLqNL3GPNbK9kau4yPhQt/c7zxzo0OHnlsV4THCG7oOCd3cfCiyfQcb3FBt6OSpaKRZxjCLBwP00r0fAgMBAAGjggHZMIIB1TASBgNVHRMBAf8ECDAGAQH/AgEAMA4GA1UdDwEB/wQEAwIBBjAdBgNVHQ4EFgQUrOyGj0s3HLh/FxsZ0K7oTuM0XBIwZAYDVR0jBF0wW4AUGu3+QTmQtCRZvgHyUtVF9lo53BGhOKQ2MDQxCzAJBgNVBAYTAkZSMRIwEAYDVQQKDAlEaGlteW90aXMxETAPBgNVBAMMCENlcnRpZ25hggkA/tzjAQ/JSP8wSQYDVR0gBEIwQDA+BgoqgXoBgTEBAAECMDAwLgYIKwYBBQUHAgEWImh0dHBzOi8vd3d3LmNlcnRpZ25hLmZyL2F1dG9yaXRlcy8wfAYIKwYBBQUHAQEEcDBuMDQGCCsGAQUFBzAChihodHRwOi8vYXV0b3JpdGUuY2VydGlnbmEuZnIvY2VydGlnbmEuZGVyMDYGCCsGAQUFBzAChipodHRwOi8vYXV0b3JpdGUuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5kZXIwYQYDVR0fBFowWDApoCegJYYjaHR0cDovL2NybC5jZXJ0aWduYS5mci9jZXJ0aWduYS5jcmwwK6ApoCeGJWh0dHA6Ly9jcmwuZGhpbXlvdGlzLmNvbS9jZXJ0aWduYS5jcmwwDQYJKoZIhvcNAQELBQADggEBAGLft7gIuGPZVfg0cTM+HT2xAZFPDb/2+siH06x+dH044zMKbBINbRzhKipwB1A3MW8FQjveE9tyrfyuqZE/X+o2SlGcdNV44ybYkxo4f6kcLEavV/IW+oFEnojZlhpksYcxrvQoEyqkAwshe8IS2KtZHKVACrt+XSs0lwvy7ALGmHaF7A4by6cZWItA7Lhj8XWp+8tBJDj7HocRbWtxzEODdBuyMgJzFrNjc+97J0vH/K0+3yjmkczpKshMA0tM+MF9XDMN/MuwrPmUWGO/fHiqHgUp8yqeWtl1n44ZxkkK1t9GRwhnDWLv73/xhTmdhWYQ/reo0GbgBoLiltKmIJQ=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","val-de-marne.gouv.fr/77.159.252.140","443","INFO","71E653BFBF5E72515B4099BBD5EC8872812B47C6EC1FA9ADD327E1C92C9EA16D","",""
"intermediate_cert_notBefore <#1>","val-de-marne.gouv.fr/77.159.252.140","443","INFO","2015-11-25 11:33","",""
"intermediate_cert_notAfter <#1>","val-de-marne.gouv.fr/77.159.252.140","443","OK","2025-11-22 11:33","",""
"intermediate_cert_expiration <#1>","val-de-marne.gouv.fr/77.159.252.140","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","val-de-marne.gouv.fr/77.159.252.140","443","INFO","Certigna Services CA <-- Certigna","",""
"intermediate_cert_badOCSP","val-de-marne.gouv.fr/77.159.252.140","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","val-de-marne.gouv.fr/77.159.252.140","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","val-de-marne.gouv.fr/77.159.252.140","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","val-de-marne.gouv.fr/77.159.252.140","443","INFO","1721232108","",""
"HTTP_headerAge","val-de-marne.gouv.fr/77.159.252.140","443","INFO","0 seconds","",""
"HSTS","val-de-marne.gouv.fr/77.159.252.140","443","LOW","not offered","",""
"HPKP","val-de-marne.gouv.fr/77.159.252.140","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","val-de-marne.gouv.fr/77.159.252.140","443","INFO","Apache","",""
"banner_application","val-de-marne.gouv.fr/77.159.252.140","443","INFO","No application banner found","",""
"cookie_count","val-de-marne.gouv.fr/77.159.252.140","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"Cache-Control","val-de-marne.gouv.fr/77.159.252.140","443","INFO","max-age=1","",""
"banner_reverseproxy","val-de-marne.gouv.fr/77.159.252.140","443","INFO","x-cache: Miss","","CWE-200"
