"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","stationnement.gouv.fr/185.8.53.118","443","INFO","HTTP","",""
"pre_128cipher","stationnement.gouv.fr/185.8.53.118","443","INFO","No 128 cipher limit bug","",""
"SSLv2","stationnement.gouv.fr/185.8.53.118","443","OK","not offered","",""
"SSLv3","stationnement.gouv.fr/185.8.53.118","443","OK","not offered","",""
"TLS1","stationnement.gouv.fr/185.8.53.118","443","INFO","not offered","",""
"TLS1_1","stationnement.gouv.fr/185.8.53.118","443","INFO","not offered","",""
"TLS1_2","stationnement.gouv.fr/185.8.53.118","443","OK","offered","",""
"TLS1_3","stationnement.gouv.fr/185.8.53.118","443","OK","offered with final","",""
"ALPN","stationnement.gouv.fr/185.8.53.118","443","INFO","not offered","",""
"cipherlist_NULL","stationnement.gouv.fr/185.8.53.118","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","stationnement.gouv.fr/185.8.53.118","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","stationnement.gouv.fr/185.8.53.118","443","OK","not offered","","CWE-327"
"cipherlist_LOW","stationnement.gouv.fr/185.8.53.118","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","stationnement.gouv.fr/185.8.53.118","443","INFO","not offered","","CWE-310"
